,secID,ticker,exchangeCD,secShortName,tradeDate,listStatusCD,currencyCD,dailyReturnReinv,dailyReturnNoReinv,isChgPctl
65,300067.XSHE,300067,XSHE,安诺其,2015-02-27,L,CNY,-0.013581,-0.013581,0
66,300068.XSHE,300068,XSHE,南都电源,2015-02-27,L,CNY,0.003824,0.003824,0
67,300069.XSHE,300069,XSHE,金利华电,2015-02-27,L,CNY,0.043579,0.043579,0
68,300070.XSHE,300070,XSHE,碧水源,2015-02-27,L,CNY,0.005986,0.005986,0
69,300071.XSHE,300071,XSHE,华谊嘉信,2015-02-27,S,CNY,,,0
70,300072.XSHE,300072,XSHE,三聚环保,2015-02-27,L,CNY,-0.004499,-0.004499,0
71,300073.XSHE,300073,XSHE,当升科技,2015-02-27,S,CNY,,,0
72,300074.XSHE,300074,XSHE,华平股份,2015-02-27,L,CNY,0.019795,0.019795,0
73,300075.XSHE,300075,XSHE,数字政通,2015-02-27,L,CNY,0.070489,0.070489,0
74,300076.XSHE,300076,XSHE,GQY视讯,2015-02-27,L,CNY,0.034419,0.034419,0
75,300077.XSHE,300077,XSHE,国民技术,2015-02-27,S,CNY,,,0
76,300078.XSHE,300078,XSHE,思创医惠,2015-02-27,S,CNY,,,0
77,300079.XSHE,300079,XSHE,数码科技,2015-02-27,L,CNY,0.03806,0.03806,0
78,300080.XSHE,300080,XSHE,易成新能,2015-02-27,L,CNY,0.004371,0.004371,0
79,300081.XSHE,300081,XSHE,恒信东方,2015-02-27,S,CNY,,,0
80,300082.XSHE,300082,XSHE,奥克股份,2015-02-27,L,CNY,0.001416,0.001416,0
81,300083.XSHE,300083,XSHE,劲胜智能,2015-02-27,L,CNY,0.012364,0.012364,0
82,300084.XSHE,300084,XSHE,海默科技,2015-02-27,L,CNY,0.041079,0.041079,0
83,300085.XSHE,300085,XSHE,银之杰,2015-02-27,L,CNY,0.01855,0.01855,0
84,300086.XSHE,300086,XSHE,康芝药业,2015-02-27,L,CNY,0.03007,0.03007,0
85,300087.XSHE,300087,XSHE,荃银高科,2015-02-27,L,CNY,-0.012214,-0.012214,0
86,300088.XSHE,300088,XSHE,长信科技,2015-02-27,L,CNY,0.016184,0.016184,0
87,300089.XSHE,300089,XSHE,文化长城,2015-02-27,L,CNY,-0.031564,-0.031564,0
88,300090.XSHE,300090,XSHE,盛运环保,2015-02-27,L,CNY,0.015384,0.015384,0
89,300091.XSHE,300091,XSHE,金通灵,2015-02-27,L,CNY,0.005822,0.005822,0
90,300092.XSHE,300092,XSHE,科新机电,2015-02-27,L,CNY,-0.003071,-0.003071,0
91,300093.XSHE,300093,XSHE,金刚玻璃,2015-02-27,L,CNY,-0.005069,-0.005069,0
92,300094.XSHE,300094,XSHE,国联水产,2015-02-27,L,CNY,0.031307,0.031307,0
93,300095.XSHE,300095,XSHE,华伍股份,2015-02-27,S,CNY,,,0
94,300096.XSHE,300096,XSHE,易联众,2015-02-27,L,CNY,0.010946,0.010946,0
95,300097.XSHE,300097,XSHE,智云股份,2015-02-27,L,CNY,0.025916,0.025916,0
96,300098.XSHE,300098,XSHE,高新兴,2015-02-27,S,CNY,,,0
97,300099.XSHE,300099,XSHE,精准信息,2015-02-27,L,CNY,0.006349,0.006349,0
98,300100.XSHE,300100,XSHE,双林股份,2015-02-27,L,CNY,-0.000641,-0.000641,0
99,300101.XSHE,300101,XSHE,振芯科技,2015-02-27,L,CNY,0.049434,0.049434,0
100,300102.XSHE,300102,XSHE,乾照光电,2015-02-27,L,CNY,0.007581,0.007581,0
101,300103.XSHE,300103,XSHE,达刚路机,2015-02-27,L,CNY,0.030042,0.030042,0
102,300104.XSHE,300104,XSHE,乐视网,2015-02-27,L,CNY,-0.029398,-0.029398,0
103,300105.XSHE,300105,XSHE,龙源技术,2015-02-27,L,CNY,0.024615,0.024615,0
104,300106.XSHE,300106,XSHE,西部牧业,2015-02-27,L,CNY,0.009195,0.009195,0
105,300107.XSHE,300107,XSHE,建新股份,2015-02-27,L,CNY,0.026785,0.026785,0
106,300108.XSHE,300108,XSHE,吉药控股,2015-02-27,L,CNY,-0.004472,-0.004472,0
107,300109.XSHE,300109,XSHE,新开源,2015-02-27,L,CNY,-0.005138,-0.005138,0
108,300110.XSHE,300110,XSHE,华仁药业,2015-02-27,S,CNY,,,0
109,300111.XSHE,300111,XSHE,向日葵,2015-02-27,L,CNY,0.011737,0.011737,0
110,300112.XSHE,300112,XSHE,万讯自控,2015-02-27,L,CNY,0.060773,0.060773,0
111,300113.XSHE,300113,XSHE,顺网科技,2015-02-27,L,CNY,0.029271,0.029271,0
112,300114.XSHE,300114,XSHE,中航电测,2015-02-27,L,CNY,0.026841,0.026841,0
113,300115.XSHE,300115,XSHE,长盈精密,2015-02-27,L,CNY,0.099911,0.099911,0
114,300116.XSHE,300116,XSHE,坚瑞沃能,2015-02-27,L,CNY,0.003773,0.003773,0
115,300117.XSHE,300117,XSHE,嘉寓股份,2015-02-27,L,CNY,0.004225,0.004225,0
116,300118.XSHE,300118,XSHE,东方日升,2015-02-27,L,CNY,0.003588,0.003588,0
117,300119.XSHE,300119,XSHE,瑞普生物,2015-02-27,L,CNY,0.000947,0.000947,0
118,300120.XSHE,300120,XSHE,经纬辉开,2015-02-27,L,CNY,0.034554,0.034554,0
119,300121.XSHE,300121,XSHE,阳谷华泰,2015-02-27,L,CNY,0.027513,0.027513,0
120,300122.XSHE,300122,XSHE,智飞生物,2015-02-27,L,CNY,0.01358,0.01358,0
121,300123.XSHE,300123,XSHE,亚光科技,2015-02-27,L,CNY,0.025146,0.025146,0
122,300124.XSHE,300124,XSHE,汇川技术,2015-02-27,L,CNY,0.045866,0.045866,0
123,300125.XSHE,300125,XSHE,易世达,2015-02-27,L,CNY,-0.002314,-0.002314,0
124,300126.XSHE,300126,XSHE,锐奇股份,2015-02-27,S,CNY,,,0
125,300127.XSHE,300127,XSHE,银河磁体,2015-02-27,L,CNY,0.006051,0.006051,0
126,300128.XSHE,300128,XSHE,锦富技术,2015-02-27,L,CNY,0.008034,0.008034,0
127,300129.XSHE,300129,XSHE,泰胜风能,2015-02-27,S,CNY,,,0
128,300130.XSHE,300130,XSHE,新国都,2015-02-27,L,CNY,0.032603,0.032603,0
129,300131.XSHE,300131,XSHE,英唐智控,2015-02-27,S,CNY,,,0
130,300132.XSHE,300132,XSHE,青松股份,2015-02-27,L,CNY,0.001265,0.001265,0
131,300133.XSHE,300133,XSHE,华策影视,2015-02-27,L,CNY,0.01308,0.01308,0
132,300134.XSHE,300134,XSHE,大富科技,2015-02-27,L,CNY,0.017826,0.017826,0
133,300135.XSHE,300135,XSHE,宝利国际,2015-02-27,L,CNY,-0.005517,-0.005517,0
134,300136.XSHE,300136,XSHE,信维通信,2015-02-27,L,CNY,0.027627,0.027627,0
135,300137.XSHE,300137,XSHE,先河环保,2015-02-27,L,CNY,0.022118,0.022118,0
136,300138.XSHE,300138,XSHE,晨光生物,2015-02-27,L,CNY,0.041176,0.041176,0
137,300139.XSHE,300139,XSHE,晓程科技,2015-02-27,L,CNY,-0.000636,-0.000636,0
138,300140.XSHE,300140,XSHE,中环装备,2015-02-27,L,CNY,0.001001,0.001001,0
139,300141.XSHE,300141,XSHE,和顺电气,2015-02-27,S,CNY,,,0
140,300142.XSHE,300142,XSHE,沃森生物,2015-02-27,L,CNY,0.008353,0.008353,0
141,300143.XSHE,300143,XSHE,星普医科,2015-02-27,L,CNY,0.003352,0.003352,0
142,300144.XSHE,300144,XSHE,宋城演艺,2015-02-27,S,CNY,,,0
143,300145.XSHE,300145,XSHE,中金环境,2015-02-27,L,CNY,0.001542,0.001542,0
144,300146.XSHE,300146,XSHE,汤臣倍健,2015-02-27,L,CNY,-0.000911,-0.000911,0
