ticker,turnoverVol,turnoverValue,chg,chgPct,return,turnoverRate,avgTurnoverRate,varReturn24,sdReturn24,avgReturn24,varReturn60,sdReturn60,avgReturn60,label
000008,844531548,3353137182.11,0.01,0.00227273,0.00227273,0.3322,0.0185,0.00657365,0.08107802,-0.02903335,0.0359693,0.18965575,0.02574703,0.01
000008,730914062,3294381755.94,0.5,0.12820513,0.12820513,0.2877,0.0151,0.00660543,0.0812738,-0.02861205,0.03598207,0.1896894,0.02553572,0.5
000008,697436589,2688238882.91,-1.06,-0.21370968,-0.21370968,0.2738,0.0144,0.00564391,0.07512594,-0.03289573,0.03585261,0.18934785,0.02472855,-1.06
000008,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00420544,0.0648494,-0.0264006,0.03490217,0.18682124,0.02806865,0.0
000008,147203445,776638872.64,-0.57,-0.10215054,-0.10215054,0.0576,0.0192,0.004284,0.0654523,-0.02969108,0.03496744,0.18699582,0.02969071,-0.57
000008,444681052,2596204019.5,-0.43,-0.07154742,-0.07154742,0.174,0.0079,0.00408693,0.0639291,-0.02784975,0.03480063,0.18654928,0.03043756,-0.43
000008,104139657,678457124.3,-0.83,-0.12134503,-0.12134503,0.0407,0.0045,0.00445364,0.06673559,-0.02160368,0.03558798,0.18864778,0.0361799,-0.83
000008,268327680,1930713306.25,-0.72,-0.0952381,-0.0952381,0.103,0.0047,0.00400563,0.06329003,-0.01689454,0.03536672,0.18806041,0.03699491,-0.72
000008,103404169,795624019.51,-0.72,-0.08695652,-0.08695652,0.0495,0.0033,0.01390811,0.11793265,0.00710796,0.03508221,0.18730247,0.03976665,-0.72
000008,156971512,1322273054.93,-0.47,-0.05371429,-0.05371429,0.0779,0.0035,0.01432424,0.1196839,0.00536122,0.03490763,0.18683585,0.04321971,-0.47
000008,144095918,1228975940.08,0.27,0.03183962,0.03183962,0.0725,0.0035,0.01783026,0.13353,-0.00442671,0.0349204,0.18687,0.04656913,0.27
000008,158053738,1402141884.85,-0.7,-0.07625272,-0.07625272,0.0797,0.0036,0.01777136,0.13330928,-0.00582399,0.03495169,0.18695372,0.04758294,-0.7
000008,172772594,1579813769.01,0.15,0.0166113,0.0166113,0.0869,0.0051,0.01790153,0.13379659,-0.00660896,0.03515874,0.18750665,0.04687895,0.15
000008,255494049,2219429915.64,0.97,0.12034739,0.12034739,0.1277,0.0064,0.03183111,0.17841275,0.01649409,0.03516298,0.18751794,0.04681422,0.97
000008,214541055,1701217537.1,0.52,0.06896552,0.06896552,0.1071,0.0047,0.0314346,0.17729805,0.01394527,0.03514637,0.18747365,0.04443806,0.52
000008,126193269,939953198.73,0.26,0.03571429,0.03571429,0.063,0.003,0.03225206,0.17958857,0.0052457,0.03540844,0.18817131,0.04615321,0.26
000008,113373398,823570985.61,0.19,0.02679831,0.02826516,0.0564,0.0026,0.03221679,0.17949037,0.00445541,0.03611682,0.19004426,0.04288956,0.19
000008,152865179,1133608061.25,-0.99,-0.12252475,-0.12252475,0.0761,0.0038,0.03219156,0.17942007,0.00327769,0.03623096,0.19034432,0.04453879,-0.99
000008,239612390,2115095755.74,-0.66,-0.07551487,-0.07551487,0.119,0.0066,0.03147673,0.17741684,0.00838289,0.035962,0.1896365,0.04925059,-0.66
000008,199496295,1716504156.05,-0.02,-0.00228311,-0.00228311,0.0997,0.0043,0.03116342,0.17653165,0.01152934,0.03593208,0.18955758,0.049372,-0.02
000008,137033956,1199771657.04,0.05,0.00574053,0.00574053,0.0696,0.0039,0.0412933,0.20320754,0.0326832,0.03633862,0.19062691,0.05299381,0.05
000008,122437918,1116979967.84,-0.61,-0.06545064,-0.06545064,0.0821,0.0046,0.04127351,0.20315882,0.03311474,0.03633528,0.19061814,0.05456006,-0.61
000008,260770548,2512700538.67,-0.74,-0.07355865,-0.07355865,0.1745,0.0079,0.04138965,0.20344446,0.04221728,0.03612773,0.19007297,0.05577046,-0.74
000008,500324405,5040818122.58,0.25,0.0254842,0.0254842,0.3348,0.0152,0.04160765,0.20397954,0.04138399,0.03796906,0.19485652,0.05200481,0.25
000008,258712659,2745082049.92,0.12,0.0123839,0.0123839,0.173,0.0288,0.04276316,0.20679255,0.04904837,0.03826633,0.19561782,0.05018351,0.12
000008,193938895,1814171591.14,0.24,0.02539683,0.02539683,0.1297,0.0065,0.0443198,0.21052267,0.05885229,0.03824294,0.19555801,0.05068089,0.24
000008,315875338,3066559187.76,-0.58,-0.05782652,-0.05782652,0.2112,0.0092,0.07525161,0.27432027,0.09623655,0.03885593,0.19711908,0.0478845,-0.58
000008,208872161,2205859815.9,-0.86,-0.07897153,-0.07897153,0.1396,0.0066,0.07461625,0.27315975,0.09864599,0.03879145,0.19695545,0.04821486,-0.86
000008,356624462,3963000689.25,-0.67,-0.05795848,-0.05795848,0.2381,0.0119,0.07365639,0.27139711,0.10193647,0.0385278,0.19628501,0.04986762,-0.67
000008,285419490,3187249644.7,0.84,0.07835821,0.07835821,0.1906,0.0091,0.07342013,0.2709615,0.10268474,0.03836093,0.19585947,0.05244268,0.84
000008,265176735,2827660535.65,-0.09,-0.00832562,-0.00832562,0.1772,0.0089,0.07447138,0.27289444,0.09704014,0.03863263,0.19655185,0.04983059,-0.09
000008,595426244,5654253432.74,3.51,0.48082192,0.48082192,0.3977,0.0173,0.07461644,0.2731601,0.09642213,0.03857632,0.19640856,0.05063432,3.51
000008,199792662,1700741667.62,-1.08,-0.12887828,-0.12887828,0.1379,0.0086,0.06825885,0.26126395,0.07591095,0.03573264,0.18903078,0.04094123,-1.08
000008,356769898,3351812096.6,-3.4,-0.28862479,-0.28862479,0.3124,0.0156,0.06641178,0.25770483,0.08633728,0.03526555,0.18779123,0.04452646,-3.4
000009,274645809,1292886252.92,-0.46,-0.09643606,-0.09643606,0.1294,0.0065,0.00823734,0.09075979,-0.03177945,0.02400846,0.15494663,0.00617736,-0.46
000009,820419481,4046293868.11,0.75,0.18656716,0.18656716,0.3871,0.0176,0.00811665,0.09009248,-0.027273,0.02385728,0.15445801,0.0072058,0.75
000009,240636901,950258741.89,-0.62,-0.13362069,-0.13362069,0.1137,0.0063,0.00606426,0.07787334,-0.03560861,0.02330489,0.15265939,0.00397803,-0.62
000009,166495947,768566330.65,0.02,0.004329,0.004329,0.0785,0.0041,0.00566937,0.07529524,-0.03004108,0.02301861,0.15171884,0.00549306,0.02
000009,156916936,741353857.93,-0.4,-0.07968127,-0.07968127,0.0741,0.0032,0.0057263,0.07567234,-0.03368141,0.02303651,0.15177782,0.00605935,-0.4
000009,264901713,1319895094.55,0.12,0.0244898,0.02848391,0.125,0.0057,0.00654362,0.08089261,-0.02551257,0.02296283,0.15153491,0.00657242,0.12
000009,198617318,1034300187.88,-0.83,-0.14485166,-0.14485166,0.0938,0.0047,0.00645322,0.08033194,-0.02653921,0.02307924,0.15191852,0.00764258,-0.83
000009,292370398,1769260024.61,-0.09,-0.01546392,-0.01546392,0.1378,0.0063,0.00615594,0.07845981,-0.01764361,0.02311644,0.15204091,0.00752529,-0.09
000009,332290144,2045676938.1,-0.25,-0.04118616,-0.04118616,0.1568,0.0087,0.00624058,0.07899734,-0.01961868,0.02460278,0.15685274,0.01290735,-0.25
000009,485527904,3020375930.08,0.03,0.00496689,0.00496689,0.2288,0.0104,0.0062289,0.07892338,-0.01805432,0.02455765,0.15670881,0.01352685,0.03
000009,292916340,1694430799.88,-0.3,-0.04731861,-0.04731861,0.138,0.0092,0.00923135,0.09607994,-0.00782564,0.02466207,0.15704163,0.01499914,-0.3
000009,499942898,3530051760.68,-0.89,-0.1230982,-0.1230982,0.2361,0.0107,0.00934937,0.09669212,-0.0089131,0.02469614,0.15715006,0.01475791,-0.89
000009,296131526,2161367416.81,-0.37,-0.04868421,-0.04868421,0.1396,0.0066,0.01346889,0.11605557,-0.01795903,0.02449274,0.15650158,0.01853303,-0.37
000009,348744796,2714723802.33,-0.55,-0.06748466,-0.06748466,0.1646,0.0075,0.01372978,0.11717415,-0.02018052,0.02466778,0.15705978,0.02172539,-0.55
000009,371492357,3235035647.48,-0.84,-0.09343715,-0.09343715,0.175,0.0103,0.01662369,0.1289329,-0.00695199,0.02487736,0.1577256,0.02083339,-0.84
000009,1314297805,12230585077.5,0.41,0.04778555,0.04778555,0.6201,0.0295,0.02729471,0.16521109,0.01822703,0.02467844,0.15709372,0.02211009,0.41
000009,971701874,8592140981.42,-0.97,-0.10157068,-0.09950057,0.4583,0.0199,0.02739801,0.16552343,0.01450142,0.02466848,0.15706202,0.021522,-0.97
000009,1189358980,10153110154.8,1.46,0.18046972,0.18046972,0.5612,0.0267,0.02681798,0.16376197,0.02009079,0.02445702,0.15638741,0.02439986,1.46
000009,561683282,4402818738.5,0.74,0.10068027,0.10068027,0.2648,0.012,0.03096375,0.1759652,-0.00176048,0.0247156,0.15721195,0.01839203,0.74
000009,348479017,2740768979.41,-1.04,-0.12395709,-0.12395709,0.1644,0.0082,0.03194716,0.17873769,-0.0140127,0.02493909,0.15792114,0.01461612,-1.04
000009,486876112,4490624366.06,-0.78,-0.08505998,-0.08505998,0.2297,0.0128,0.03171618,0.17809037,-0.01286927,0.02461043,0.15687712,0.01716169,-0.78
000009,542496404,5245118273.2,-0.59,-0.06045082,-0.06045082,0.2557,0.0111,0.03657954,0.19125779,0.00484656,0.02453108,0.15662401,0.02019014,-0.59
000009,432285865,4232460771.97,0.25,0.02628812,0.02628812,0.2039,0.0113,0.03675347,0.19171194,0.01159797,0.02507131,0.15833923,0.01825966,0.25
000009,530038950,5375163537.63,-0.85,-0.08204633,-0.08204633,0.25,0.0139,0.03766808,0.19408267,0.01716547,0.02513817,0.15855021,0.01705925,-0.85
000009,1164706824,12283653203.1,0.12,0.01171875,0.01171875,0.5496,0.025,0.03722774,0.1929449,0.02097017,0.02542124,0.15944038,0.02148479,0.12
000009,877908018,9152897753.44,-0.14,-0.01348748,-0.01348748,0.4142,0.0188,0.03732451,0.19319552,0.01932448,0.02781791,0.16678702,0.01532798,-0.14
000009,549811235,5827565941.2,0.0,0.0,0.0,0.2595,0.0162,0.03727728,0.19307326,0.02101085,0.02787269,0.16695117,0.0168895,0.0
000009,1218902208,13474724986.1,-0.94,-0.08303887,-0.08303887,0.5752,0.0288,0.03734543,0.19324966,0.02000759,0.02789469,0.16701704,0.016506,-0.94
000009,2537825476,28566209252.7,1.18,0.11637081,0.11637081,1.1973,0.0521,0.03686612,0.19200553,0.02416889,0.02819597,0.16791655,0.01538822,1.18
000009,1786653595,22317529913.8,-3.56,-0.25985401,0.00384451,0.987,0.047,0.0477954,0.2186216,0.04187318,0.0280317,0.16742671,0.0132388,-3.56
000009,1287679976,17334349075.2,0.88,0.06864275,0.06864275,0.8281,0.0414,0.04780873,0.21865208,0.04171299,0.02819826,0.16792338,0.01507175,0.88
000009,879520001,11258158254.0,-0.86,-0.0628655,-0.0628655,0.5657,0.0269,0.04784432,0.21873344,0.03885287,0.02818638,0.167888,0.01495524,-0.86
000009,1607580839,22978343985.2,-0.05,-0.00364166,-0.00364166,1.0338,0.0517,0.04740843,0.21773477,0.04209354,0.02821055,0.16795997,0.01481048,-0.05
000009,1549503776,19691973200.3,2.75,0.25045537,0.25045537,1.0023,0.0436,0.04764821,0.21828469,0.04034775,0.02825456,0.16809093,0.01421147,2.75
000009,1004441011,12527710241.0,-0.87,-0.07341772,-0.07341772,0.6741,0.0421,0.04597143,0.2144095,0.02752689,0.02782573,0.16681045,0.00722642,-0.87
000009,1213115933,15972678362.7,-6.11,-0.34020045,-0.34020045,0.8142,0.0407,0.04659259,0.21585316,0.0386347,0.02854534,0.16895365,0.01231642,-6.11
000012,108707569,454642264.55,-0.21,-0.05,-0.05,0.0622,0.0031,0.00436349,0.06605674,-0.0284568,0.01232246,0.11100659,0.00047864,-0.21
000012,248999904,1083563396.11,0.01,0.00238663,0.00238663,0.1434,0.0065,0.00533443,0.07303719,-0.03394923,0.01249019,0.1117595,-0.00054392,0.01
000012,139648776,586209901.8,-0.71,-0.14489796,-0.14489796,0.0806,0.0045,0.00742677,0.08617871,-0.02605927,0.01250851,0.11184143,-3.879e-05,-0.71
000012,121396298,595831404.71,0.09,0.01871102,0.01871102,0.0699,0.0037,0.00689445,0.08303284,-0.01876706,0.01216585,0.11029892,0.00297975,0.09
000012,173292905,866169678.36,-0.28,-0.05500982,-0.05500982,0.0997,0.0043,0.00693651,0.08328569,-0.02249593,0.01216614,0.11030025,0.00243749,-0.28
000012,170625954,847007259.5,0.14,0.02828283,0.02828283,0.0983,0.0045,0.00772789,0.08790844,-0.01516849,0.01210929,0.1100422,0.00343148,0.14
000012,132847988,790905911.7,-1.84,-0.27098675,-0.15487375,0.0861,0.0043,0.00769941,0.0877463,-0.01860116,0.01218259,0.11037477,0.00182741,-1.84
000012,149342812,1068056740.75,-0.42,-0.05825243,-0.05825243,0.0991,0.0045,0.00696016,0.08342758,-0.01060209,0.01221205,0.11050814,0.00173654,-0.42
000012,129092499,950384170.42,-0.32,-0.04249668,-0.04249668,0.0855,0.0048,0.00686843,0.08287598,-0.0078448,0.01613969,0.12704207,0.01090772,-0.32
000012,286631127,2268706694.93,-0.46,-0.05757196,-0.05757196,0.19,0.0086,0.00689136,0.08301423,-0.00454225,0.01609285,0.12685762,0.011616,-0.46
000012,220861810,1778330210.31,-0.73,-0.0837156,-0.0837156,0.1463,0.0098,0.00752958,0.08677315,0.00341214,0.01635464,0.12788525,0.01039322,-0.73
000012,750522620,6685332794.33,0.27,0.03195266,0.03195266,0.4973,0.0226,0.00758624,0.087099,0.00311241,0.01620596,0.12730264,0.01173074,0.27
000012,510516445,4427535888.03,-0.74,-0.08052231,-0.08052231,0.3408,0.0162,0.00940086,0.09695802,-0.00692681,0.01622337,0.12737101,0.01202648,-0.74
000012,986321035,8869040647.28,0.91,0.10990338,0.10990338,0.6595,0.03,0.01412703,0.11885719,0.01066614,0.01671654,0.12929247,0.01686314,0.91
000012,146812406,1216449760.84,-0.05,-0.0060024,-0.0060024,0.0983,0.0058,0.01368167,0.11696867,0.00659548,0.01661242,0.12888917,0.01441937,-0.05
000012,348033987,3003611897.33,-0.28,-0.03252033,-0.03252033,0.233,0.0111,0.01408979,0.11870044,0.01130316,0.01660959,0.1288782,0.0144959,-0.28
000012,403022370,3454520234.98,-0.02,-0.0023175,-0.0023175,0.2696,0.0117,0.01487056,0.12194489,0.00719503,0.0165857,0.12878549,0.0148061,-0.02
000012,423035555,3844968590.77,-0.7,-0.0750268,0.07521128,0.3028,0.0144,0.01557447,0.12479773,0.00217714,0.01685134,0.12981271,0.0129723,-0.7
000012,204752979,1880833505.79,0.45,0.05067568,0.05067568,0.1574,0.0072,0.01599071,0.12645438,-0.00623527,0.01699333,0.13035846,0.01005211,0.45
000012,187811350,1755885882.12,-1.08,-0.10843373,-0.10843373,0.1446,0.0072,0.01656099,0.12868953,-0.01417633,0.01712036,0.1308448,0.00775383,-1.08
000012,374853752,4196794617.89,-0.95,-0.08707608,-0.08707608,0.2879,0.016,0.01624661,0.12746219,-0.00815583,0.01689941,0.12999772,0.01016529,-0.95
000012,370702430,4215484140.54,-0.72,-0.06190886,-0.06190886,0.2841,0.0124,0.02365916,0.15381533,0.01318163,0.01681991,0.12969159,0.01299305,-0.72
000012,684020928,8199085781.91,0.26,0.02286719,0.02286719,0.5246,0.0291,0.02464796,0.15699667,0.02364774,0.01731992,0.13160518,0.01110896,0.26
000012,600353168,6954534795.86,0.03,0.0026455,0.0026455,0.4603,0.0256,0.02465068,0.15700535,0.02334309,0.01744743,0.13208872,0.01238101,0.03
000012,938788677,11323340672.9,-2.52,-0.18181818,-0.18181818,0.7197,0.0327,0.02463711,0.15696214,0.02374842,0.0175471,0.13246546,0.01384538,-2.52
000012,1860467003,25994599424.3,2.23,0.19174549,0.19174549,1.4266,0.0648,0.02282469,0.15107843,0.03477526,0.0172507,0.13134193,0.01470038,2.23
000012,222788424,2586415688.3,0.34,0.03011515,0.03011515,0.1709,0.0107,0.02173207,0.14741801,0.02897603,0.01719606,0.13113376,0.00885464,0.34
000012,249185764,2898828488.3,-0.86,-0.07078189,-0.07078189,0.1911,0.0096,0.02179564,0.14763347,0.02729822,0.0174798,0.1322112,0.00629001,-0.86
000012,922428044,11382212173.8,1.31,0.12084871,0.12084871,0.7071,0.0307,0.02142287,0.14636555,0.03319131,0.01758683,0.13261535,0.0057281,1.31
000012,367742655,4207535371.53,-0.62,-0.05410122,-0.05410122,0.2821,0.0134,0.021137,0.1453857,0.02776339,0.0173682,0.13178847,0.00337277,-0.62
000012,412369658,4687433468.33,0.41,0.03710407,0.03710407,0.3163,0.0158,0.02096608,0.14479668,0.03367793,0.01732376,0.13161974,0.00389062,0.41
000012,297551892,3236166743.12,-0.23,-0.02039007,0.00792235,0.2281,0.0109,0.02122967,0.14570406,0.03021154,0.01735036,0.13172078,0.00419967,-0.23
000012,385648840,4278741870.22,0.4,0.03676471,0.03676471,0.2958,0.0148,0.02131168,0.14598522,0.02909348,0.01767626,0.13295209,0.00180515,0.4
000012,483548550,5107873948.27,1.28,0.13333333,0.13333333,0.3706,0.0161,0.02148125,0.14656482,0.02608108,0.01783421,0.1335448,-0.00051472,1.28
000012,588132337,6487357676.19,-0.96,-0.09090909,-0.09090909,0.4509,0.0282,0.02100739,0.14493927,0.02000338,0.0176215,0.13274601,-0.00404881,-0.96
000012,854900846,8883775759.66,-2.79,-0.20898876,-0.20898876,0.6556,0.0328,0.0204656,0.14305803,0.02400117,0.01803542,0.13429601,0.00043438,-2.79
000021,153962608,930937896.23,-0.33,-0.05427632,-0.05427632,0.1048,0.0052,0.00575585,0.07586735,-0.01702042,0.01951233,0.13968653,0.011344,-0.33
000021,234383564,1407789271.83,0.69,0.12801484,0.12801484,0.1593,0.0072,0.00627963,0.07924412,-0.02034507,0.01947522,0.13955366,0.01166969,0.69
000021,116979048,615645152.74,-0.71,-0.11639344,-0.11639344,0.0796,0.0044,0.00544616,0.07379808,-0.02417252,0.01924648,0.13873169,0.00997389,-0.71
000021,102988917,629526560.15,-0.09,-0.01453958,-0.01453958,0.0703,0.0037,0.00509039,0.07134696,-0.01904342,0.01923893,0.13870447,0.01000348,-0.09
000021,149089328,960298059.31,-0.71,-0.10289855,-0.10289855,0.1016,0.0044,0.00512901,0.07161712,-0.02052283,0.01923548,0.13869205,0.0107595,-0.71
000021,206396328,1418830186.79,0.08,0.01173021,0.01173021,0.1405,0.0064,0.00484364,0.06959628,-0.01790934,0.01922397,0.13865052,0.01456183,0.08
000021,187666282,1351157642.07,-1.19,-0.14856429,-0.14211402,0.1277,0.0064,0.00494962,0.07035356,-0.01673294,0.01960729,0.14002602,0.01713786,-1.19
000021,384494485,3336975129.43,-1.33,-0.14239829,-0.14239829,0.2617,0.0119,0.00807353,0.08985285,0.00136278,0.02014462,0.14193174,0.01580701,-1.33
000021,726501571,6762216034.1,0.6,0.06864989,0.06864989,0.4945,0.0275,0.00727366,0.08528577,0.00521733,0.02209594,0.14864702,0.02479021,0.6
000021,504313096,4422274583.18,0.05,0.00575374,0.00575374,0.3432,0.0156,0.0071176,0.08436585,0.00140892,0.02222406,0.14907737,0.02240731,0.05
000021,321085709,2651602934.57,-0.24,-0.0268757,-0.0268757,0.2185,0.0146,0.00849863,0.09218799,0.00880807,0.02229143,0.14930313,0.02159302,-0.24
000021,1251429107,13115342986.3,-0.8,-0.08221994,-0.08221994,0.8519,0.0387,0.0084735,0.09205164,0.00919322,0.02226691,0.14922101,0.0218985,-0.8
000021,401059358,3789987159.48,0.65,0.0715859,0.0715859,0.2729,0.013,0.0133393,0.11549591,-0.00161534,0.02209509,0.14864417,0.02316267,0.65
000021,623874024,6110680617.67,-0.18,-0.01943844,-0.01943844,0.4243,0.0193,0.01441007,0.12004195,-0.01219695,0.02227639,0.14925278,0.02426426,-0.18
000021,183328324,1717540541.45,-0.18,-0.0190678,-0.0190678,0.1249,0.0073,0.01966565,0.14023425,0.0029193,0.02262645,0.15042091,0.02247853,-0.18
000021,347953661,3244112051.35,0.24,0.02608696,0.02608696,0.2369,0.0113,0.02573944,0.16043515,0.01981227,0.02266426,0.15054654,0.02212156,0.24
000021,333397730,2915840158.62,0.78,0.09263658,0.09263658,0.227,0.0099,0.02623446,0.16197056,0.01498968,0.02266497,0.1505489,0.02192634,0.78
000021,154726457,1312080519.67,-0.16,-0.01864802,-0.01864802,0.1051,0.005,0.02925414,0.17103841,-0.00010023,0.02260934,0.15036404,0.02001426,-0.16
000021,177092200,1512951220.01,0.13,0.01538462,0.02122687,0.1202,0.0055,0.03125012,0.17677702,-0.00844891,0.02273406,0.15077817,0.0190859,0.13
000021,172553544,1412140970.23,0.48,0.06022585,0.06022585,0.1172,0.0059,0.03124598,0.17676533,-0.00851747,0.02293294,0.15143625,0.01722863,0.48
000021,195789846,1723838034.79,-1.29,-0.13930886,-0.13930886,0.1333,0.0078,0.03149621,0.17747172,-0.00710639,0.02295119,0.15149651,0.01558588,-1.29
000021,198697129,1942354865.58,-0.52,-0.05316973,-0.05316973,0.1349,0.0059,0.03233173,0.17981026,0.00687878,0.02268395,0.1506119,0.01977271,-0.52
000021,152440755,1478410472.38,0.3,0.03164557,0.03164557,0.1037,0.0058,0.03497643,0.18701988,0.02030681,0.02274758,0.150823,0.01939997,0.3
000021,186095280,1799380853.22,0.05,0.00530223,0.00530223,0.1269,0.007,0.03497805,0.18702418,0.02037077,0.02295697,0.15151559,0.02107205,0.05
