ticker,monthBeginDate,chgPct
000536,2019-05-06,-0.05923345
000536,2019-04-01,-0.15339233
000536,2019-03-01,-0.0173913
000536,2019-02-01,1.05357143
000536,2019-01-02,-0.10160428
000537,2019-06-03,-0.01704545
000537,2019-05-06,-0.14355231
000537,2019-04-01,-0.10749186
000537,2019-03-01,0.05377574
000537,2019-02-01,0.25574713
000537,2019-01-02,-0.07076101
000541,2019-06-03,0.00191205
000541,2019-05-06,-0.11952862
000541,2019-04-01,-0.00668896
000541,2019-03-01,0.01528014
000541,2019-02-01,0.1617357
000541,2019-01-02,-0.02123552
000543,2019-06-03,0.01948052
000543,2019-05-06,-0.09765625
000543,2019-04-01,-0.04655493
000543,2019-03-01,-0.01286765
000543,2019-02-01,0.06876228
000543,2019-01-02,0.06263048
000547,2019-06-03,-0.03140831
000547,2019-05-06,-0.00202224
000547,2019-04-01,-0.09680365
000547,2019-03-01,0.0243218
000547,2019-02-01,0.10662526
000547,2019-01-02,0.27777778
000552,2019-06-03,-0.02867384
000552,2019-05-06,-0.07920792
000552,2019-04-01,-0.03194888
000552,2019-03-01,0.03642384
000552,2019-02-01,0.17509728
000552,2019-01-02,0.00390625
000559,2019-06-03,0.00504202
000559,2019-05-06,-0.06885759
000559,2019-04-01,-0.05192878
000559,2019-03-01,0.10491803
000559,2019-02-01,0.15311909
000559,2019-01-02,0.03320312
000563,2019-06-03,0.02777778
000563,2019-05-06,-0.04845815
000563,2019-04-01,-0.14339623
000563,2019-03-01,0.09958506
000563,2019-02-01,0.77205882
000563,2019-01-02,0.01492537
000564,2019-06-03,-0.02973978
000564,2019-05-06,-0.21802326
000564,2019-04-01,-0.05494505
000564,2019-03-01,0.06122449
000564,2019-02-01,0.35573123
000564,2019-01-02,0.0
000581,2019-06-03,-0.05595117
000581,2019-05-06,-0.043309
000581,2019-04-01,-0.11000433
000581,2019-03-01,0.10956271
000581,2019-02-01,0.09989429
000581,2019-01-02,0.07134768
000587,2019-06-03,0.21126761
000587,2019-05-06,-0.21402214
000587,2019-04-01,-0.13968254
000587,2019-03-01,0.00638978
000587,2019-02-01,0.33191489
000587,2019-01-02,0.0
000598,2019-06-03,0.01789709
000598,2019-05-06,-0.05095541
000598,2019-04-01,0.01290323
000598,2019-03-01,-0.0106383
000598,2019-02-01,0.10588235
000598,2019-01-02,0.05459057
000600,2019-06-03,0.00903614
000600,2019-05-06,-0.14543115
000600,2019-04-01,-0.03117207
000600,2019-03-01,0.21148036
000600,2019-02-01,0.1220339
000600,2019-01-02,0.1752988
000623,2019-06-03,0.0123533
000623,2019-05-06,-0.1143326
000623,2019-04-01,0.00384404
000623,2019-03-01,0.01335559
000623,2019-02-01,0.21913161
000623,2019-01-02,0.02148302
