ticker,lastChgPct,tradeDate,marketValue,negMarketValue,PE,PB,FY12P,PCF,NetAssetGrowRate,VSTD10,MACD,RSI,ROE,plusDI,minusDI,ADX,ASI,Hurst,avgTurnoverRate,label
000008,0.06896552,2017-09-01,22409645874.0,15990551430.0,41.8359,3.6347,0.0268,-92.3108,0.0972,2722972.7237,-0.0426,43.3779,0.0905,20.5017,13.0984,40.9462,-4.1288,0.5494,0.0064,0.12034739
000008,0.03571429,2017-08-01,21314437617.0,15209058315.0,41.0197,3.4744,0.0294,-79.8744,0.0963,2727611.4665,0.0232,63.2611,0.0898,22.0083,16.0021,19.241,-4.6848,0.7696,0.0047,0.06896552
000008,0.02679831,2017-07-03,20450090024.0,14633365656.0,39.3562,3.3335,0.0357,-76.6353,0.0963,1756385.161,0.0354,44.5483,0.0898,15.7982,23.9633,19.713,1.5171,0.7704,0.003,0.03571429
000008,-0.12252475,2017-06-01,19691638883.0,14090644677.0,37.8966,3.2099,0.0348,-73.7931,0.0963,2467968.0544,0.0232,29.8077,0.0898,13.9041,37.5176,56.2389,-9.1134,0.7441,0.0026,0.02679831
000008,-0.07551487,2017-05-02,22416444834.0,16040420046.0,43.1405,3.6541,0.0306,-84.0041,0.0963,2617332.6762,-0.1886,11.1637,0.0898,5.4646,48.2308,55.5532,-20.6101,0.7662,0.0038,-0.12252475
000008,-0.00228311,2017-04-05,24972706087.0,17869590753.0,47.8527,4.0852,0.0295,-444.9356,1.1225,7105318.5775,0.0866,65.9013,0.1047,46.8679,10.9756,35.4614,5.1569,0.6104,0.0066,-0.07551487
000008,0.00574053,2017-03-01,24523253559.0,17417461329.0,79.9441,4.2233,0.0245,-302.2527,1.0798,1281783.169,0.0508,37.8747,0.0724,15.3434,9.997,18.9402,-0.5212,0.6087,0.0043,-0.00228311
000008,-0.06545064,2017-02-03,24270436512.0,12918775104.0,79.1199,4.1798,0.0252,-299.1367,1.0798,2297704.0633,-0.0324,20.4979,0.0724,13.3794,27.9867,52.6382,1.5073,0.405,0.0039,0.00574053
000008,-0.07355865,2017-01-03,26236791322.0,13965435124.0,85.5301,4.5184,0.0233,-323.3723,1.0798,5298838.0005,-0.0172,40.2503,0.0724,5.5749,17.4216,58.2976,-0.1381,0.5716,0.0046,-0.06545064
000008,0.0254842,2016-12-01,27687400368.0,15009193584.0,90.259,4.7683,0.0195,-341.2512,1.0798,7302904.1106,-0.0282,47.3908,0.0724,19.689,18.8874,25.4918,-3.2282,0.5245,0.0079,-0.07355865
000008,0.0123839,2016-11-01,27549514908.0,14934446604.0,89.8095,4.7445,0.02,-339.5518,1.0798,29069014.5812,0.1206,64.1938,0.0724,43.2865,25.1359,38.7836,-34.1949,0.6016,0.0152,0.0254842
000008,-0.05782652,2016-09-01,25812158112.0,13992634656.0,163.7384,4.5849,0.0197,-1046.1389,1.0358,5077612.0246,0.0132,32.0849,0.0447,16.5684,17.211,22.3014,-4.1326,0.5331,0.0065,0.02539683
000008,-0.07897153,2016-08-01,27246167884.0,14796189200.0,193.4809,4.8676,0.0172,-1024.4083,0.9578,4434636.8464,-0.1226,17.1946,0.0499,5.5186,33.9814,42.3819,-19.3465,0.5665,0.0092,-0.05782652
000008,-0.05795848,2016-07-01,29562643696.0,16054164800.0,209.9307,5.2815,0.0159,-1111.5037,0.9578,13386058.6894,-0.1504,27.0422,0.0499,20.1546,27.3499,32.7973,9.3513,0.6657,0.0066,-0.07897153
000008,0.07835821,2016-06-01,31879119508.0,17312140400.0,226.3805,5.6953,0.0147,-1198.5992,0.9578,3038077.1473,-0.003,46.9958,0.0499,18.6338,13.6243,15.7688,0.8059,0.6624,0.0119,-0.05795848
000008,-0.00832562,2016-05-03,29865991719.0,16218899700.0,212.0848,5.3357,0.0167,-1122.9091,0.9578,3533664.1344,-0.079,49.2129,0.0499,20.0138,15.7411,19.6792,12.1447,0.6926,0.0091,0.07835821
000008,0.48082192,2016-04-01,29728106254.0,16144020200.0,211.1057,5.311,0.0142,-435.2289,3.9132,6346470.6308,0.2314,76.2865,0.0559,28.2878,14.2625,47.7448,7.5014,0.7116,0.0089,-0.00832562
000008,-0.12887828,2016-03-01,21430775564.0,12025647700.0,115.4231,7.3694,0.0196,-313.7534,3.9132,6884051.9009,-0.0224,41.7552,0.0559,8.0952,36.269,36.1538,-41.2458,0.5724,0.0173,0.48082192
000008,-0.28862479,2016-02-01,20022388230.0,10969390299.0,107.8377,6.8851,0.0237,-293.1341,3.9132,5836137.5385,-0.0602,38.6018,0.0559,11.701,29.8389,50.1032,-17.5488,0.6833,0.0086,-0.12887828
000008,-0.00169492,2016-01-04,25564083069.0,6798125141.0,137.6845,8.7908,0.0186,-374.2663,3.9132,7811312.7078,-0.2198,39.3388,0.0559,16.9213,43.3481,23.4767,-32.4445,0.7138,0.0156,-0.28862479
