ticker,date,actual,pred
8,20190603,-0.01049869,0.026416372507810593
8,20190506,-0.11188811,-0.03759678825736046
8,20190401,-0.07142857,0.03752092272043228
8,20190301,-0.01070664,0.017838872969150543
12,20190603,-0.10729614,0.013465704396367073
12,20190506,-0.04897959,-0.026768822222948074
12,20190201,0.20833333,0.02703944407403469
12,20190102,0.02255639,-0.006100490689277649
21,20190201,0.26243568,0.014113012701272964
21,20190102,0.01391304,0.0068500228226184845
27,20190603,0.04201681,-0.03812076523900032
27,20190506,-0.013267,-0.04502883180975914
27,20190401,-0.07087827,0.005374413914978504
27,20190301,0.06219313,0.011470988392829895
27,20190201,0.20512821,-0.0114773940294981
27,20190102,-0.03428571,-0.0461629293859005
28,20190603,-0.02312004,-0.00796680897474289
28,20190506,-0.09144918,-0.055239174515008926
28,20190401,-0.08467664,0.020099004730582237
28,20190301,0.16545948,0.036782048642635345
28,20190201,0.1284802,0.04102085158228874
28,20190102,-0.05526062,-0.0138944610953331
31,20190603,0.04220779,-0.038417998701334
31,20190506,-0.10595065,-0.062453847378492355
31,20190401,0.05030488,-0.029792584478855133
31,20190301,0.12908778,0.00472019799053669
31,20190201,0.17849899,0.02740240842103958
31,20190102,0.0102459,-0.013459701091051102
39,20190603,-0.14078842,-0.01949530839920044
39,20190506,-0.12093352,-0.0921485498547554
39,20190401,-0.05227882,-0.012846975587308407
39,20190301,0.12773998,-0.0010221709962934256
39,20190201,0.18761221,0.00123475247528404
39,20190102,0.05293006,-0.01620086468756199
60,20190603,-0.03099174,0.022745570167899132
60,20190506,-0.04724409,-0.04957588016986847
60,20190401,0.00594059,0.04205795004963875
60,20190301,0.04123711,0.01722995564341545
60,20190201,0.20347395,0.050448354333639145
60,20190102,0.01767677,0.0075463950634002686
62,20190506,-0.32945014,-0.02917468175292015
62,20190401,-0.03463788,0.03340483456850052
62,20190301,0.10049505,0.03473413363099098
62,20190201,0.18823529,0.028794048354029655
62,20190102,0.02040816,-0.02127353474497795
66,20190603,0.05112474,-0.09836175292730331
66,20190506,0.11771429,0.040595218539237976
66,20190401,-0.17218543,-0.06456772238016129
66,20190301,0.52745665,0.1144092008471489
66,20190201,0.29104478,0.06168540194630623
66,20190102,0.13080169,0.025045227259397507
78,20190201,0.35,0.05601249262690544
78,20190102,0.00671141,0.02723134309053421
89,20190603,0.05331754,0.037276171147823334
89,20190506,-0.05698324,-0.036429692059755325
89,20190401,-0.10767697,0.06517089158296585
89,20190301,0.04916318,0.0352872796356678
89,20190201,0.18463445,0.0721069946885109
89,20190102,0.03594352,0.030881384387612343
90,20190603,-0.24349158,0.03778715431690216
90,20190506,-0.07375887,-0.03883518651127815
90,20190401,0.01878613,0.07560252398252487
90,20190301,0.16302521,0.03844081610441208
90,20190201,0.24217119,0.04339040815830231
90,20190102,0.04130435,0.011650357395410538
301,20190603,0.05172414,-0.029437946155667305
301,20190506,-0.12268908,-0.11569526791572571
301,20190401,-0.00833333,-0.03581241890788078
301,20190301,0.11111111,-0.0186141524463892
301,20190201,0.11111111,-0.031140368431806564
301,20190102,-0.10989011,-0.057268429547548294
400,20190603,0.00554939,0.019296955317258835
400,20190506,-0.07967314,-0.04247673973441124
400,20190401,-0.07641509,0.02374749630689621
400,20190301,-0.04072398,0.053091295063495636
400,20190201,0.09840954,0.00956456083804369
400,20190102,0.13160855,0.012553434818983078
401,20190603,0.05197133,0.03546852618455887
401,20190506,0.03461063,-0.061007726937532425
401,20190401,-0.08015918,0.051230933517217636
401,20190301,0.1496732,0.0779586061835289
401,20190201,0.17782910000000002,0.07214105874300003
401,20190102,0.04927302,0.02613423764705658
426,20190603,0.06759443,0.07946305721998215
426,20190506,-0.09694794,-0.004198428243398666
426,20190401,-0.11022364,0.06764812767505646
426,20190301,-0.04281346,-0.01762080192565918
426,20190201,0.10847458,0.08286501467227936
426,20190102,0.18473896,0.09810169786214828
488,20190603,-0.00740741,0.04937165975570679
488,20190506,-0.09243697,-0.017581705003976822
488,20190401,-0.11982249,0.066260427236557
488,20190301,-0.010248899999999998,0.06667615473270416
488,20190201,0.20884956,0.06282421946525574
488,20190102,0.00713012,0.021239642053842545
501,20190603,0.02870813,0.03488755598664284
501,20190506,-0.10607357,0.00736796110868454
501,20190401,-0.02664446,0.04756587743759155
501,20190301,0.09181818,0.05591293424367905
501,20190201,0.12359551,0.03764933720231056
501,20190102,0.03270042,0.018447834998369217
513,20190603,0.07020934,-0.02326200157403946
513,20190506,-0.09050967,-0.02903822436928749
513,20190401,-0.02429266,-0.023535095155239105
513,20190301,0.04603886,0.05667046085000038
513,20190201,0.23113728,0.038697440177202225
513,20190102,0.08031809,0.0021311158780008554
519,20190201,0.28571429,0.04063941910862923
519,20190102,0.00158983,0.028292164206504822
528,20190603,0.0152439,0.03692377731204033
528,20190506,-0.10748299,-0.06233775243163109
528,20190401,-0.05648267,0.06458994746208191
528,20190301,0.0627558,0.07097341865301132
528,20190201,0.18225806,0.06611275672912598
528,20190102,0.0214168,-0.010488837957382202
537,20190102,-0.07076101,0.029667552560567856
543,20190603,0.01948052,0.04830088093876839
543,20190506,-0.09765625,-0.03123347833752632
543,20190401,-0.04655493,-0.0007521433290094137
543,20190301,-0.01286765,0.04554825648665428
543,20190201,0.06876228,0.028697863221168518
543,20190102,0.06263048,0.028752401471138
547,20190603,-0.03140831,-0.012432835064828396
547,20190506,-0.00202224,-0.07161883264780045
547,20190401,-0.09680365,-0.013937422074377537
547,20190301,0.024321799999999998,0.04076549783349037
547,20190201,0.10662526,0.008762619458138943
