ticker,date,pred
0.01290323,20190401,[-0.01197449]
-0.0106383,20190301,[-0.02269087]
0.10588235,20190201,[-0.01690205]
0.05459057,20190102,[-0.01329457]
0.00903614,20190603,[-0.01169879]
-0.14543115,20190506,[-0.02117461]
-0.03117207,20190401,[-0.0371242]
0.21148036,20190301,[-0.01167926]
0.1220339,20190201,[-0.02139007]
0.17529879999999998,20190102,[-0.00836909]
-0.13560411,20190401,[0.04085841]
0.11701364,20190301,[0.06709323]
0.3630137,20190201,[0.13560775]
-0.04841713,20190102,[0.04131179]
0.06542056,20190603,[0.01335497]
-0.17205279999999998,20190506,[0.00486026]
-0.16654021,20190401,[0.03726296]
-0.00113679,20190301,[-0.02354754]
0.14939024,20190201,[-0.01354917]
-0.01543739,20190102,[-0.02628999]
0.00826446,20190603,[-0.01558796]
-0.01626016,20190506,[-0.01595509]
-0.00577367,20190401,[-0.01329544]
0.02002356,20190301,[-0.02660289]
0.17753121,20190201,[-0.0066718]
0.03,20190102,[-0.01713117]
0.02800467,20190603,[-0.00261667]
0.30873494,20190201,[0.00168619]
0.06070288,20190102,[-0.00673763]
-0.019911500000000002,20190603,[-0.00394823]
-0.12572534,20190506,[-0.01161756]
-0.09457093,20190401,[0.00565129]
-0.02226027,20190301,[-0.03214425]
0.20164609,20190201,[-0.00608222]
0.06813187,20190102,[-0.00657278]
-0.16666667,20190603,[0.06465439]
-0.17336849,20190506,[-0.00221774]
0.64355363,20190401,[0.11176949]
0.80626223,20190301,[0.08190273]
0.22836538,20190201,[-0.0172863]
0.29595016,20190102,[0.05595841]
-0.03206997,20190603,[-0.01608677]
-0.0704607,20190506,[-0.03044342]
0.15132605,20190401,[-0.01356065]
0.0015625,20190301,[-0.01768244]
0.07563025,20190201,[-0.0238424]
0.05496454,20190102,[-0.01892893]
0.06451613,20190603,[-0.00768223]
-0.14694551,20190506,[-0.01212011]
0.13072378,20190201,[0.01210994]
-0.034236800000000005,20190102,[-0.01178011]
-0.04490378,20190603,[-0.01481219]
-0.01057828,20190506,[-0.00984182]
-0.08927425,20190401,[-0.02431328]
0.07231405,20190301,[-0.0135735]
0.19407895,20190201,[-0.00796166]
0.00829187,20190102,[-0.01328805]
0.14457831,20190201,[-0.02287712]
-0.01190476,20190102,[-0.02160278]
0.00680272,20190603,[-0.01420162]
-0.08316008,20190506,[-0.01947293]
-0.06054688,20190401,[-0.03442408]
0.04065041,20190301,[-0.03703979]
0.14418605,20190201,[-0.01325118]
-0.00232019,20190102,[-0.01834161]
-0.02291667,20190603,[-0.00145959]
-0.08396947,20190506,[-0.01233698]
0.07377049,20190401,[0.01772224]
0.06318083,20190301,[-0.02110545]
0.30028329,20190201,[0.00414896]
-0.09020619,20190102,[0.00434856]
-0.29254571,20190401,[-0.08442574]
0.68085106,20190301,[0.01175133]
-0.06312292,20190201,[-0.03920678]
-0.01633987,20190102,[-0.04286308]
0.20306122,20190603,[0.01638838]
-0.12811388,20190506,[-0.00078244]
-0.27437056,20190401,[-0.04806881]
0.31271186,20190301,[-0.00313968]
0.2826087,20190201,[-0.00357238]
-0.11453321,20190102,[-0.01367851]
0.01041667,20190603,[-0.00679097]
0.31465517,20190201,[0.00961324]
-0.17290553,20190102,[-0.00844348]
-0.07404255,20190603,[0.01125604]
-0.1754386,20190506,[-0.00196235]
-0.01315789,20190401,[0.03305309]
0.09393939,20190301,[0.02254016]
0.12627986,20190201,[0.0097176]
0.19591837,20190102,[0.01038483]
-0.01768868,20190603,[-0.01091068]
0.0,20190506,[0.00540484]
-0.05986696,20190401,[-0.01320986]
0.04277457,20190301,[-0.01261527]
0.11469072,20190201,[-0.0092335]
-0.03482587,20190102,[-0.01479961]
0.13228155,20190603,[-0.00232036]
-0.28965517,20190506,[-0.0196072]
-0.04337787,20190401,[-0.0428851]
0.43536932,20190301,[0.0061525]
0.05864662,20190201,[-0.02464867]
0.25117592,20190102,[-0.00287388]
0.11373093,20190603,[-0.03103926]
-0.02004757,20190506,[-0.02769853]
-0.07944948,20190401,[-0.03663753]
0.08520027,20190301,[-0.03363011]
0.132206,20190201,[-0.02770834]
0.00076923,20190102,[-0.02780615]
0.11623439,20190603,[0.00861635]
-0.04495413,20190506,[0.00411254]
-0.07627119,20190401,[-0.00782468]
0.29812981,20190301,[0.07385103]
0.14483627,20190201,[0.00725229]
0.11673699,20190102,[0.00448831]
0.04935834,20190603,[-0.00760351]
-0.09310654,20190506,[-0.02549951]
0.10594059,20190401,[0.00245081]
-0.01174168,20190301,[-0.03068908]
0.24786325,20190201,[-0.00415246]
0.03278689,20190102,[-0.008502]
0.06372549,20190603,[-0.02767037]
0.01745636,20190506,[-0.02549786]
-0.04295943,20190401,[-0.02931484]
0.02444988,20190301,[-0.03796465]
0.10242588,20190201,[-0.02532481]
0.01089918,20190102,[-0.03549109]
0.0,20190603,[-0.00413341]
-0.16244541,20190506,[-0.00933136]
-0.07512116,20190401,[-0.01019715]
0.04296546,20190301,[-0.01952263]
0.26276596,20190201,[-0.00012083]
-0.07114625,20190102,[-0.01069508]
-0.04081633,20190603,[-0.0141713]
-0.06107784,20190506,[-0.0008216]
-0.03579677,20190401,[-0.00219975]
0.05867971,20190301,[-0.01681155]
0.26234568,20190201,[0.00067023]
-0.12668464,20190102,[-0.0283151]
-0.26952527,20190603,[-0.00874976]
-0.13395225,20190506,[-0.02203019]
-0.00527704,20190401,[-0.01173794]
-0.01940492,20190301,[-0.04546567]
0.11705202,20190201,[-0.02908728]
0.14191419,20190102,[-0.00486503]
-0.00515464,20190603,[-0.01715847]
-0.09345794,20190506,[-0.0394286]
-0.01382488,20190401,[-0.01647419]
0.03579952,20190301,[-0.03536047]
0.13243243,20190201,[-0.01320994]
-0.01856764,20190102,[-0.01833162]
-0.0084507,20190603,[-0.02986842]
-0.10126582,20190506,[-0.03531749]
-0.10022779,20190401,[-0.04812446]
0.02331002,20190301,[-0.06101809]
0.12303665,20190201,[-0.04151363]
0.02412869,20190102,[-0.04094956]
-0.01845343,20190603,[-0.00868317]
-0.04047218,20190506,[-0.01157528]
-0.01821192,20190401,[-0.01565529]
-0.03205128,20190301,[-0.0279919]
0.22473013,20190201,[-0.00603455]
0.06813417,20190102,[-0.01176118]
-0.12355212,20190603,[0.022962]
0.26341463,20190506,[0.04064282]
0.04698672,20190401,[0.02410368]
0.06761178,20190301,[0.0022826]
0.23252688,20190201,[0.0101767]
0.01500682,20190102,[-0.00100289]
0.25978988,20190603,[0.00799094]
0.02848723,20190506,[-0.0231519]
-0.06519743,20190401,[-0.03431216]
0.01870907,20190301,[-0.03012754]
0.05424063,20190201,[-0.02272874]
-0.00490677,20190102,[-0.03995598]
0.04571429,20190401,[0.0156344]
0.29207921,20190201,[0.00362218]
-0.06697460000000001,20190102,[-0.0072573]
-0.01623377,20190603,[-0.01154839]
-0.10465116,20190506,[-0.04126485]
0.10433387,20190401,[-0.00635375]
-0.0032,20190301,[-0.03599673]
0.14468864,20190201,[-0.00620026]
-0.00546448,20190102,[-0.00808473]
-0.01635769,20190603,[-0.02713701]
-0.12164751,20190506,[-0.03632568]
-0.04744526,20190401,[-0.04436911]
0.33464052,20190201,[-0.02136383]
0.08281999,20190603,[0.01063954]
-0.01748487,20190506,[0.00753745]
-0.0369171,20190401,[-0.00100148]
0.05034014,20190301,[0.02204006]
0.25426621,20190201,[0.02068572]
-0.01842546,20190102,[-0.00380495]
-0.12898089,20190603,[0.00734583]
-0.16600266,20190506,[0.00757078]
-0.13248848,20190401,[-0.01987109]
1.00461894,20190301,[0.08753327]
0.17344173,20190201,[-0.02105471]
-0.07826811,20190102,[-0.02585556]
0.00835821,20190603,[-0.01323415]
-0.06633222,20190506,[-0.01957588]
0.01355932,20190401,[-0.00555129]
0.02489867,20190301,[-0.01686666]
0.15133333,20190201,[-0.01068722]
0.02459016,20190102,[-0.01416137]
-0.03466667,20190603,[0.01284332]
0.10213079,20190506,[0.04004746]
-0.16297663,20190401,[-0.02866496]
0.03964194,20190301,[-0.03316402]
0.24920128,20190201,[-0.00675505]
-0.15405405,20190102,[-0.03149083]
0.06497278,20190603,[-0.02066004]
-0.06610169,20190506,[-0.02834496]
0.02288488,20190401,[-0.03423707]
0.14717582,20190301,[-0.02951182]
0.13858696,20190201,[-0.01433968]
-0.11182623,20190102,[-0.02395796]
0.11531532,20190603,[0.03949639]
0.03690037,20190401,[0.01499551]
0.1507431,20190301,[-0.02135124]
0.38938053,20190201,[0.00518746]
0.17708333,20190102,[0.01789068]
0.02083333,20190603,[-0.0028585]
-0.19246299,20190506,[-0.02251101]
0.12150943,20190401,[-0.00217746]
0.16534741,20190301,[-0.00213907]
0.27039106,20190201,[0.00195011]
-0.16355139999999999,20190102,[-0.00352169]
-0.030185000000000003,20190603,[0.00157883]
-0.14559068,20190506,[0.00032766]
-0.03298471,20190401,[0.00994879]
0.06421233,20190301,[0.04292771]
0.17034068,20190201,[0.01189898]
0.01114488,20190102,[0.00343493]
0.02079723,20190603,[-0.01094607]
-0.07864271,20190506,[-0.01158091]
-0.0923913,20190401,[-0.0120523]
0.01620029,20190301,[-0.01035419]
0.12417219,20190201,[-0.00219158]
-0.02619911,20190102,[-0.01200443]
-0.01636364,20190603,[0.0023897]
-0.13385827,20190506,[-0.00015249]
-0.00392157,20190401,[0.00661036]
0.01674641,20190301,[-0.00457793]
0.2115942,20190201,[0.00423541]
-0.00767018,20190102,[-0.00179542]
-0.02216803,20190603,[0.00395737]
0.25589114,20190201,[0.02141378]
0.04256055,20190102,[0.00272954]
0.01865009,20190603,[-0.00536314]
-0.15018868,20190506,[-0.01438584]
-0.12193506,20190401,[-0.00256231]
0.11777778,20190301,[-0.00956471]
0.20106762,20190201,[0.00837457]
0.01444043,20190102,[-0.01642869]
-0.04642409,20190603,[0.00575804]
0.15674891,20190506,[0.01383058]
-0.01289398,20190401,[0.00035195]
0.004,20190603,[-0.00834999]
-0.04580153,20190506,[-0.01186739]
0.08,20190301,[-0.01168849]
0.11111111,20190201,[-0.01289275]
0.07398568,20190102,[-0.01527136]
0.02823529,20190603,[0.00806973]
-0.13383152,20190506,[0.00060249]
-0.16316089,20190401,[-0.00240386]
0.04391691,20190301,[-0.02722281]
0.38341544,20190201,[0.01854758]
0.05363322,20190102,[-0.0168107]
-0.12402235,20190603,[-0.0249507]
0.02402746,20190506,[-0.01176431]
-0.12512513,20190401,[-0.02222346]
0.03846154,20190301,[-0.0387259]
0.41055718,20190201,[0.01270796]
-0.15068493,20190102,[-0.01003129]
0.0624025,20190603,[-0.00788937]
-0.10474860000000001,20190506,[-0.02325868]
0.0013985999999999998,20190401,[-0.01192588]
-0.01243094,20190301,[-0.01800348]
0.20066335,20190201,[-0.00737084]
0.05789474,20190102,[-0.01065403]
