ticker,date,pred
8,20190603,-0.008267011537037709
8,20190506,-0.012570945036296244
8,20190401,-0.012113055349164747
8,20190301,-0.0355984385645077
12,20190603,-0.020475501958550392
12,20190506,-0.018186944371527333
12,20190201,-0.010269607487027495
12,20190102,-0.019769492858151095
21,20190201,0.002370753742574342
21,20190102,-0.0074935546669103285
27,20190603,-0.024362810557243177
27,20190506,-0.022937471772415393
27,20190401,-0.0344117960130039
27,20190301,-0.04919179687190725
27,20190201,-0.017607592789898256
27,20190102,-0.023217670379485852
28,20190603,-0.021976665220730926
28,20190506,-0.02289292986371427
28,20190401,-0.039694224182639
28,20190301,-0.03388138951043636
28,20190201,-0.021026532153609324
28,20190102,-0.022143766059088865
31,20190603,-0.04118471994890546
31,20190506,-0.05343955438157584
31,20190401,-0.06884681912297505
31,20190301,-0.0519279081400255
31,20190201,-0.006570871967333192
31,20190102,-0.01399058658828145
39,20190603,-0.0674112578771473
39,20190506,-0.07574819732162345
39,20190401,-0.09460962861986295
39,20190301,-0.08323063824909362
39,20190201,-0.05923759174804821
39,20190102,-0.06306205165272245
60,20190603,-0.02053763941182367
60,20190506,-0.0160104155247608
60,20190401,-0.017140685381285766
60,20190301,-0.05465020750335792
60,20190201,-0.005160699268949159
60,20190102,-0.013809600777518359
62,20190506,-0.007932965270709915
62,20190401,-0.022822522760180805
62,20190301,-0.024376305832470562
62,20190201,-0.013874985656489083
62,20190102,-0.01423299369032056
66,20190603,-0.10798910672238511
66,20190506,0.023077133330765418
66,20190401,-0.09876140941314016
66,20190301,0.017344037467273577
66,20190201,-0.016381201832996583
66,20190102,-0.01142459304502317
78,20190201,0.009558385523669787
78,20190102,-0.008312452907446926
89,20190603,-0.013070786454963115
89,20190506,-0.012505477837524011
89,20190401,-0.02345230581275965
89,20190301,-0.03425916853629109
89,20190201,-0.010235025374448566
89,20190102,-0.016773695024033745
90,20190603,-0.007161389242396392
90,20190506,-0.014500805066641023
90,20190401,-0.011891127032143324
90,20190301,-0.020967725960220798
90,20190201,-0.003489069415401412
90,20190102,-0.007212220617990302
301,20190603,-0.04145686859772317
301,20190506,-0.05275044810975697
301,20190401,-0.05376825961468233
301,20190301,-0.04638952674014078
301,20190201,-0.03551564534300622
301,20190102,-0.05362533971673966
400,20190603,-0.003556483319915229
400,20190506,-0.005730712926415037
400,20190401,0.006371572137050259
400,20190301,0.005241633549655792
400,20190201,-0.0018264212997443872
400,20190102,0.009185099368906258
401,20190603,-0.013644852548268426
401,20190506,-0.010554802004508305
401,20190401,-0.008098124954248793
401,20190301,0.0003907614967104782
401,20190201,0.011019805676893011
401,20190102,0.0021314806418866496
426,20190603,0.009789311007494483
426,20190506,-0.00592407719160034
426,20190401,0.011781012793188151
426,20190301,-0.05037859242174941
426,20190201,0.04114975135098563
426,20190102,0.02455196253861708
488,20190603,-0.02443296417936371
488,20190506,-0.025320542108193615
488,20190401,-0.01002497017597882
488,20190301,-0.033268181299326335
488,20190201,-0.010782433655601952
488,20190102,-0.029865067414400606
501,20190603,-0.006723825189479484
