ticker,monthBeginDate,chgPct
000006,2019-06-03,-0.00728597
000006,2019-05-06,-0.1
000006,2019-04-01,-0.0962963
000006,2019-03-01,0.10655738
000006,2019-02-01,0.18677043
000006,2019-01-02,-0.00772201
000006,2018-12-03,-0.03896104
000006,2018-11-01,0.06311637
000006,2018-10-08,-0.11052632
000006,2018-09-03,0.05360444
000006,2018-08-01,-0.07679181
000006,2018-07-02,0.0
000006,2018-06-01,-0.15440115
000006,2018-05-02,-0.00858369
000006,2018-04-02,-0.05156038
000006,2018-03-01,-0.25177665
000006,2018-02-01,0.0
000006,2018-01-02,0.0
000006,2017-12-01,0.0
000006,2017-11-01,0.0
000006,2017-10-09,0.0
000006,2017-09-01,0.16568047
000006,2017-08-01,-0.00705053
000006,2017-07-03,-0.03405221
000006,2017-06-01,0.05005959
000006,2017-05-02,0.00841346
000006,2017-04-05,0.00483092
000006,2017-03-01,-0.05694761
000006,2017-02-03,0.01268743
000006,2017-01-03,-0.08253968
000006,2016-12-01,-0.015625
000006,2016-11-01,-0.02439024
000006,2016-10-10,0.01863354
000006,2016-09-01,0.13647059
000006,2016-08-01,0.14401077
000006,2016-07-01,0.00814111
000006,2016-06-01,-0.00135501
000006,2016-05-03,-0.06935687
000006,2016-04-01,-0.04457831
000006,2016-03-01,0.1292517
000006,2016-02-01,-0.01342282
000006,2016-01-04,-0.35273675
000006,2015-12-01,0.03693694
000006,2015-11-02,-0.05612245
000006,2015-10-08,0.25106383
000006,2015-09-01,-0.11404336
000006,2015-08-03,-0.0947099
000006,2015-07-01,-0.13633014
000006,2015-06-01,-0.13012821
000006,2015-05-04,0.33561644
000006,2015-04-01,0.32727273
000006,2015-03-02,0.33942161
000006,2015-02-02,0.01076923
000006,2015-01-05,-0.07801418
000008,2019-06-03,-0.01049869
000008,2019-05-06,-0.11188811
000008,2019-04-01,-0.07142857
000008,2019-03-01,-0.01070664
000008,2019-02-01,0.28296703
000008,2019-01-02,-0.06426735
000008,2018-12-03,0.03457447
000008,2018-11-01,-0.14739229
000008,2018-10-08,0.00227273
000008,2018-09-03,0.12820513
000008,2018-08-01,-0.21370968
000008,2018-07-02,0.0
000008,2018-06-01,-0.10215054
000008,2018-05-02,-0.07154742
000008,2018-04-02,-0.12134503
000008,2018-03-01,-0.0952381
000008,2018-02-01,-0.08695652
000008,2018-01-02,-0.05371429
000008,2017-12-01,0.03183962
000008,2017-11-01,-0.07625272
