ticker,Unnamed: 0,secID,exchangeCD,secShortName,tradeDate,listStatusCD,currencyCD,dailyReturnReinv,dailyReturnNoReinv,isChgPctl
600677,975,600677.XSHG,XSHG,航天通信,2015-02-27,S,CNY,,,0
600679,977,600679.XSHG,XSHG,上海凤凰,2015-02-27,S,CNY,,,0
600687,984,600687.XSHG,XSHG,*ST刚泰,2015-02-27,S,CNY,,,0
600701,997,600701.XSHG,XSHG,*ST工新,2015-02-27,S,CNY,,,0
600714,1009,600714.XSHG,XSHG,金瑞矿业,2015-02-27,S,CNY,,,0
600725,1020,600725.XSHG,XSHG,ST云维,2015-02-27,S,CNY,,,0
600745,1040,600745.XSHG,XSHG,闻泰科技,2015-02-27,S,CNY,,,0
600747,1042,600747.XSHG,XSHG,*ST大控,2015-02-27,S,CNY,,,0
600749,1044,600749.XSHG,XSHG,西藏旅游,2015-02-27,S,CNY,,,0
600756,1050,600756.XSHG,XSHG,浪潮软件,2015-02-27,S,CNY,,,0
600759,1053,600759.XSHG,XSHG,洲际油气,2015-02-27,S,CNY,,,0
600766,1059,600766.XSHG,XSHG,园城黄金,2015-02-27,S,CNY,,,0
600777,1069,600777.XSHG,XSHG,新潮能源,2015-02-27,S,CNY,,,0
600797,1087,600797.XSHG,XSHG,浙大网新,2015-02-27,S,CNY,,,0
600804,1093,600804.XSHG,XSHG,鹏博士,2015-02-27,S,CNY,,,0
600817,1104,600817.XSHG,XSHG,ST宏盛,2015-02-27,S,CNY,,,0
600829,1116,600829.XSHG,XSHG,人民同泰,2015-02-27,S,CNY,,,0
600858,1140,600858.XSHG,XSHG,银座股份,2015-02-27,S,CNY,,,0
600870,1152,600870.XSHG,XSHG,ST厦华,2015-02-27,S,CNY,,,0
600962,1184,600962.XSHG,XSHG,国投中鲁,2015-02-27,S,CNY,,,0
601336,1273,601336.XSHG,XSHG,新华保险,2015-02-27,S,CNY,,,0
601608,1294,601608.XSHG,XSHG,中信重工,2015-02-27,S,CNY,,,0
603003,1352,603003.XSHG,XSHG,龙宇燃油,2015-02-27,S,CNY,,,0
603008,1355,603008.XSHG,XSHG,喜临门,2015-02-27,S,CNY,,,0
603969,1412,603969.XSHG,XSHG,银龙股份,2015-02-27,L,CNY,,,1
